"database","schema","relation","column","key","type","description"
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","total_bytes_processed","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","total_slot_ms","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","error_result","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","cache_hit","","boolean",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","destination_table","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","referenced_tables","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","labels","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","timeline","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","job_stages","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","total_bytes_billed","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","parent_job_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","transaction_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","session_info","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","dml_statistics","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","bi_engine_statistics","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","total_modified_partitions","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__partitions","project_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__partitions","dataset_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__partitions","table_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__partitions","partition_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__partitions","total_rows","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__partitions","total_logical_bytes","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__partitions","total_billable_bytes","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__partitions","last_modified_time","","timestamp",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__partitions","storage_tier","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__table_options","project_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__table_options","dataset_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__table_options","table_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__table_options","option_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__table_options","option_type","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__table_options","option_value","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__tables","project_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__tables","dataset_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__tables","table_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__tables","table_type","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__tables","is_insertable_into","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__tables","is_typed","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__tables","creation_time","","timestamp",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__tables","ddl","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__tables","default_collation_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__views","project_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__views","dataset_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__views","table_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__views","view_definition","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__views","check_option","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__views","use_standard_sql","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","test","start_ts","","timestamp",""
